name of bidder,url,direction of activity,created date
b'Erlianhot city huaxinyuan import and export trade \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1587573493411,No data,2020-05-06
b'Famur Famak SA \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572836927342,No data,2019-11-15
b'Frequentis AG \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572836767903,No data,2019-11-08
b'Frequentis Comsoft GmbH \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572836713042,No data,2019-11-06
b'GEOMIN sro \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1579683187037,No data,2020-02-12
b'GEOtest as \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1561609822066,No data,2019-07-11
b'GUGA IT Services Private Limited \xd0\x91\xd1\x83\xd1\x81\xd0\xb0\xd0\xb4',https://www.tender.gov.mn/en/bidder/entity/1557801722146,No data,2019-05-15
b'Gadaad baiguullaga \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1543831231791,No data,2018-12-03
b'Gesellschaft f\xc3\xbcr Consulting Business und Management mbH \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1495861220894,No data,2017-05-30
b'HSBC \xd0\x91\xd1\x83\xd1\x81\xd0\xb0\xd0\xb4',https://www.tender.gov.mn/en/bidder/entity/1534482936881,No data,2018-08-30
b'HUAYUE INDUSTRIAL \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1651465422228,No data,2022-05-06
b'HUHHOT RAILWAY EQUIPMENT COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1579682694671,No data,2020-02-04
b'Hai An Rubber Group Coltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1653038054985,No data,2022-05-26
b'Hasan Atilla AKT\xc3\x9cRK \xd0\x91\xd1\x83\xd1\x81\xd0\xb0\xd0\xb4',https://www.tender.gov.mn/en/bidder/entity/1585208606074,No data,2020-03-27
b'Hatch Associates Limited \xd0\x91\xd1\x83\xd1\x81\xd0\xb0\xd0\xb4',https://www.tender.gov.mn/en/bidder/entity/1530253634564,No data,2018-07-24
b'Hebei Delin Machinery Co Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1630661076610,No data,2021-09-22
b'Henan Dafang Heavy Machine Coltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1495861028311,No data,2017-05-29
b'Huhhot Railway Foreign Economic & Technical Cooperation Group CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589512084060,No data,2020-05-21
b'IMAGES IN MOTION \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1519216685421,No data,2018-03-02
b'INDRA-AVITECH GmbH \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589514028093,No data,2020-06-29
b'INHEMETER COLTD \xd0\x91\xd1\x83\xd1\x81\xd0\xb0\xd0\xb4',https://www.tender.gov.mn/en/bidder/entity/1634528287656,No data,2021-10-18
b'INNER MONGOLIA SUPPORT RAILWAY INTEGRAT EQUIPMENT COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1579682699456,No data,2020-02-04
b'INTRA PROJECT LLC \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1569405950676,No data,2019-10-04
b'Inner Monglia Yonglida Import & Export Trading Limited liability company \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1616394515709,No data,2021-03-23
b'Inner Mongolia Dongyirihui import & Export coltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1616395218838,No data,2021-04-02
b'JIANGSU YUANFANG DWELL EQUIPMENT TECHNOLY COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589514338844,No data,2020-07-07
b'JSC FTF Transmashexport \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1610037792288,No data,2021-01-20
b'JSC RZD Traiding House \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1579683606682,No data,2020-02-20
b'Jiangsu Jialong Engineering Construction CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1560139421834,No data,2019-06-10
b'Jiangsu Yawei Transformer COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589516598994,No data,2020-09-17
b'Jiaxing Bove Intelligent Technology CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589514745248,No data,2020-07-20
b'JieGang Technology CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589516342940,No data,2020-09-09
b'Jinzhou Tiegong Railway Maintenance Machinery Co Ltd \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1626831381105,No data,2021-07-23
b'Jotron AS \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572836713722,No data,2019-11-06
b'KING POWER TRAVELER LIMITED \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1563252432044,No data,2019-07-23
b'LEONARDO TECHNOLOGIES & SERVICES LTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589514458346,No data,2020-07-09
b'LL-C (Certification) Czech Republic as \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1603989696601,No data,2020-11-02
b'LLC OIL AND GAS EQUIPMENT PLANT LLC \xd0\x9e\xd0\xbb\xd0\xbe\xd0\xbd \xd0\xbd\xd0\xb8\xd0\xb9\xd1\x82\xd0\xb8\xd0\xb9\xd0\xbd \xd0\xb1\xd2\xaf\xd0\xbb\xd1\x8d\xd0\xb3',https://www.tender.gov.mn/en/bidder/entity/1586022134130,No data,2020-04-10
b'LUKOIL Lubricants Central Asia LLP \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1579683604153,No data,2020-02-20
b'Longjian road and bridge \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1643000216078,No data,2022-01-25
b'METSO FRANCE SAS \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572837476307,No data,2019-12-06
b'MIBRAG Consulting International GmBh \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1638947039896,No data,2021-12-14
b'MIS \xd0\xa5\xd1\x83\xd0\xb2\xd1\x8c\xd1\x86\xd0\xb0\xd0\xb0\xd1\x82 \xd0\xba\xd0\xbe\xd0\xbc\xd0\xbf\xd0\xb0\xd0\xbd\xd0\xb8 \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1541985949618,No data,2018-11-12
b'Merlion Resources Holding Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1586022476700,No data,2020-04-16
b'MineSight Pty Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1643185815086,No data,2022-01-26
b'Minerals and Metals group \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1540897094907,No data,2018-11-02
b'Minerva Networks Inc \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1561609813315,No data,2019-07-10
b'Mware Solutions Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1563252467902,No data,2019-07-24
b'NANJING LES INFORMATION TECHNOLOGY COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572837074386,No data,2019-11-20
b'Naipu mining machinery CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1568769703323,No data,2019-09-19
b'Nanjing AUBO electric Coltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1541986758805,No data,2018-11-16
b'Ningxia YIWUDE TRADING COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1618540612667,No data,2021-05-13
"b""OBSHCHESTVO S OGRANICHENNOJ OTVETSTVENNOST'YU \xe2\x80\x9cNAUCHNO-TEKHNICHESKIJ CENTR \xe2\x80\x9cTEKHNOLOGIYA\xe2\x80\x9d \xd0\x91\xd1\x83\xd1\x81\xd0\xb0\xd0\xb4""",https://www.tender.gov.mn/en/bidder/entity/1618539532588,No data,2021-04-26
b'Pan Arabia information System \xd0\x91\xd1\x83\xd1\x81\xd0\xb0\xd0\xb4',https://www.tender.gov.mn/en/bidder/entity/1622610929438,No data,2021-06-14
b'Papavella \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1570643344966,No data,2019-10-30
b'Polycorp Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1628821387892,No data,2021-08-26
b'Power construction corporation of China Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1565510950201,No data,2019-08-12
b'ProXeon Group Industry \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589516966113,No data,2020-10-01
b'QINGDAO TSKY Railway Equipment \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1603435907281,No data,2020-10-23
b'QUFU XINAO RAILWAY ENGINEERING EQUIPMENT COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589513855210,No data,2020-06-23
b'SAMSUNG C&T CORPORATION \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1610037769537,No data,2021-01-20
b'SUZHOU CHANGDIZE IMPORT & EXPORT COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1582257550053,No data,2020-02-23
b'SVEL Group JSC \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589513368409,No data,2020-06-16
b'Sailun Group CoLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1611282366438,No data,2021-02-08
b'Samsung C&T Corporation \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1618539124538,No data,2021-04-20
b'Schauenburg MAB GMBH \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1653038169463,No data,2022-06-03
b'Score International \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1586021797672,No data,2020-04-06
b'Seequent \xd0\xa2\xd3\xa9\xd0\xbb\xd3\xa9\xd3\xa9\xd0\xbb\xd3\xa9\xd0\xb3\xd1\x87\xd0\xb8\xd0\xb9\xd0\xbd \xd0\xb3\xd0\xb0\xd0\xb7\xd0\xb0\xd1\x80',https://www.tender.gov.mn/en/bidder/entity/1536054574850,No data,2018-09-06
b'Shandong Weigao Group Medical Polymer CoLtd \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1617595197003,No data,2021-04-14
b'Shandong Zhaojun Grinding \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589516632450,No data,2020-09-18
b'Shanghai Huace Navigation Technology Ltd \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1643000215888,No data,2022-01-25
b'Shanghai Mengrui enterprice development coLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1577207173719,No data,2020-01-08
b'Shanghai Shibang machinery sales CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572836854898,No data,2019-11-12
b'Shanxi Longfengxin Industry & Trade CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1604391304825,No data,2020-11-04
b'Shin Myung Power \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589516123897,No data,2020-09-01
b'System Integration Air Traffic Management AB \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572837071821,No data,2019-11-20
b'TIG GLOBAL \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1543832150586,No data,2018-12-24
b'TURKASIA GRUP DIS TIC IHR LTD STI \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1579683541339,No data,2020-02-19
b'Technical Mechanical Services (TMS) \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1589511994603,No data,2020-05-20
b'Techno brain \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1572836927604,No data,2019-11-15
b'Testsupplier01 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1555658936981,No data,2019-05-06
b'Testsupplier02 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1555658937210,No data,2019-05-06
b'URGA sro \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1586022390475,No data,2020-04-15
b'UVR-FIA GmbH \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1625143766218,No data,2021-07-19
b'Vagoneta \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1579683130110,No data,2020-02-11
b'Weihai Changte Industrial Mining Machinery CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1604549154132,No data,2020-11-05
b'Weihai Miya New Materials CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1644394045684,No data,2022-02-16
b'Wuxi Geological Drilling Equipment CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1614329255054,No data,2021-03-01
b'XIAMEN GOLDEN DRAGON COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1627984169235,No data,2021-08-04
b'XINJIANG BEIXIN ROAD AND BRIDGE GROUP COLTD \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1642062907157,No data,2022-01-18
b'XU \xd0\x91\xd0\x91\xd0\x9d',https://www.tender.gov.mn/en/bidder/entity/1639472186437,No data,2021-12-22
b'YANTAI SKERN MECHANICAL AND ELECTRICAL EQUIPMENT COLTD \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1615534446534,No data,2021-03-19
b'Yi County Yitianyang Import and Export Trading CoLtd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1568769664332,No data,2019-09-18
b'Yongchao Wang \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1570643130716,No data,2019-10-21
b'Yujia Education Equipment Group Co Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1583990774628,No data,2020-03-19
b'Yuriy Dudko \xd0\x91\xd1\x83\xd1\x81\xd0\xb0\xd0\xb4',https://www.tender.gov.mn/en/bidder/entity/1583719675614,No data,2020-03-11
b'ZHAO YUANSHIZHENG \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1649341463790,No data,2022-04-12
b'ZHDA \xd0\xa2\xd3\xa9\xd0\xbb\xd3\xa9\xd3\xa9\xd0\xbb\xd3\xa9\xd0\xb3\xd1\x87\xd0\xb8\xd0\xb9\xd0\xbd \xd0\xb3\xd0\xb0\xd0\xb7\xd0\xb0\xd1\x80',https://www.tender.gov.mn/en/bidder/entity/1604668358820,No data,2020-11-10
b'Zhengzhou Yutong Bus Co Ltd \xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1618540469780,No data,2021-05-11
b'Zhongchengxing Eco-Energy Technology (Beijing) Group Co Ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1616394629169,No data,2021-03-25
b'Zhongmei Engineering Group ltd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1627874865976,No data,2021-08-02
b'adf \xd0\x91\xd0\x91\xd0\x9d',https://www.tender.gov.mn/en/bidder/entity/1622610291700,No data,2021-06-02
b'asdfdfas \xd0\x97\xd0\x91\xd0\x9d',https://www.tender.gov.mn/en/bidder/entity/1603427399439,No data,2020-10-23
b'asfasdfasdf \xd0\xa1\xd0\xb0\xd0\xbb\xd0\xb1\xd0\xb0\xd1\x80',https://www.tender.gov.mn/en/bidder/entity/1542860033872,No data,2018-11-23
b'asldjf;laksjdf \xd0\xa2\xd3\xa9\xd0\xbb\xd3\xa9\xd3\xa9\xd0\xbb\xd3\xa9\xd0\xb3\xd1\x87\xd0\xb8\xd0\xb9\xd0\xbd \xd0\xb3\xd0\xb0\xd0\xb7\xd0\xb0\xd1\x80',https://www.tender.gov.mn/en/bidder/entity/1487576754132,No data,2017-02-21
b'gadaad \xd0\x91\xd0\x91\xd0\x9d',https://www.tender.gov.mn/en/bidder/entity/1538973247571,No data,2018-10-08
b'hanaholding \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1505106622570,No data,2017-09-15
b'rashaant hill \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1555658842614,No data,2019-05-03
b'test supplier \xd0\xa5\xd0\xbe\xd1\x80\xd1\x88\xd0\xbe\xd0\xbe',https://www.tender.gov.mn/en/bidder/entity/1493703384172,No data,2017-05-03
b'test zulaa \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1547820471182,No data,2019-01-19
b'\xc2\xabInnovation Greases Technology\xc2\xbb Limited Liability Company (OOO \xc2\xabINTESMO\xc2\xbb) \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1583990298033,No data,2020-03-12
b'\xd0\x81\xd0\x9e\xd0\x93 \xd0\xa2\xd0\xa0\xd0\x95\xd0\x99\xd0\x94 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1551751868279,No data,2019-04-01
b'\xd0\x81\xd0\xba\xd0\xbe\xd0\xb7\xd1\x83\xd0\xbd\xd0\xb0\xd0\xbd\xd1\x8d\xd1\x82 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523715398,No data,2020-02-21
b'\xd0\x81\xd0\xbb \xd1\x88\xd2\xaf\xd1\x82\xd1\x8d\xd1\x8d\xd0\xbd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1586022267636,No data,2020-04-13
b'\xd0\x81\xd0\xbb\xd1\x82\xd0\xba\xd0\xbe\xd0\xbd\xd1\x81\xd1\x82\xd1\x80\xd0\xb0\xd0\xba\xd1\x88\xd0\xb8\xd0\xbd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1462246995929,No data,2017-07-16
b'\xd0\x81\xd0\xbb\xd1\x82\xd1\x85\xd0\xb0\xd1\x80\xd0\xb3\xd0\xb0\xd0\xbd\xd0\xb0 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1547899741679,No data,2019-01-29
b'\xd0\x81\xd0\xbb\xd1\x8b\xd0\xbd \xd1\x86\xd0\xbe\xd0\xbc \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523708925,No data,2018-09-14
b'\xd0\x81\xd0\xbb\xd1\x8b\xd0\xbd \xd1\x8d\xd1\x85\xd1\x8d\xd0\xbd \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1616394915989,No data,2021-03-29
b'\xd0\x81\xd1\x81\xd1\x82 \xd0\xb1\xd1\x8d\xd0\xb9\xd0\xbb \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1583145955984,No data,2020-03-02
b'\xd0\x81\xd1\x81\xd1\x82 \xd1\x8d\xd0\xb2 \xd0\xa2\xd3\xa9\xd1\x80\xd0\xb8\xd0\xb9\xd0\xbd \xd0\xb1\xd1\x83\xd1\x81 \xd0\xb1\xd0\xb0\xd0\xb9\xd0\xb3\xd1\x83\xd1\x83\xd0\xbb\xd0\xbb\xd0\xb0\xd0\xb3\xd0\xb0',https://www.tender.gov.mn/en/bidder/entity/1657040251433,No data,2022-08-11
b'\xd0\x81\xd1\x81\xd1\x82\xd0\xb1\xd1\x8d\xd0\xb9\xd1\x81 \xd1\x81\xd0\xb5\xd1\x80\xd0\xb2\xd0\xb8\xd1\x81 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1474523615384,No data,2020-05-29
b'\xd0\x90\xd0\x90\xd0\x91\xd0\x91 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1462246994308,No data,2019-05-13
b'\xd0\x90\xd0\x90\xd0\x97\xd0\xa3\xd0\xa3 \xd0\xa5\xd0\xa5\xd0\x9a',https://www.tender.gov.mn/en/bidder/entity/1515986563595,No data,2018-01-26
