company name,website url,phone number,kvk number
 Bloeddrukmeter.shop,https://bloeddrukmeter.shop,0182 601784,KvK 57985707
 bol.com,http://www.bol.com,030 3104999,KvK 32147382
 Bouwprofi.nl,https://www.bouwprofi.nl/,088 597 0000,KvK 29042230
 Broekhof Verpakkingen,http://www.broekhof.nl,0252 343434,KvK 28072199
 brood-shop.nl,http://www.brood-shop.nl,0316 22 14 52,KvK 55417663
 Budgetcam.nl,http://Budgetcam.nl,010 2847450,KvK 24255575
 Buiskoppelingshop.nl,http://www.buiskoppelingshop.nl,010 4613631,KvK 57415447
 byADELAAR,http://www.byadelaar.nl,030 8886989,KvK 65944917
 Cachet Royal,http://www.cachetroyal.nl,071 8870440,KvK 69314985
 Cadeau Tableau,http://www.cadeautableau.nl,088 5010450,KvK 16055670
 Cadeau4jou,http://www.cadeau4jou.nl,0235578757,KvK 34209332
 CameraNU.nl,http://www.cameraNU.nl,0527 200900,KvK 39083060
 Cemex Trescon,http://www.cemex.nl,079 3466000,KvK 24147391
 Centralpoint,http://www.centralpoint.nl,024-2092000,KvK 34163037
 ChristmasPlanet.nl,http://www.christmasplanet.nl,088 5010475,KvK 16055670
 CitroenAir,http://www.citroenair.nl,0318 592930,KvK 30185015
 CleanDirect,http://www.cleandirect.nl,0367600467,KvK 51111853
 Coolblue,http://www.coolblue.nl,(+31) (0)10 798 89 99,KvK 24330087
 Coronakantoorinrichting.nl,http://www.coronakantoorinrichting.nl,0318 202053, 
 Creativ EventZ,http://www.creativ-eventz.nl,06 55748095,KvK 56935471
 Dakgoot.nu,http://www.dakgoot.nu,0786176833,KvK 23074822
 Dakprofi.nl,https://www.dakprofi.nl/,088 597 0000,KvK 29042230
 Dakraamprofi.nl,https://www.dakraamprofi.nl/,088 597 0000,KvK 29042230
 De Verpakkingswinkel,http://www.deverpakkingswinkel.com,0475 317741,KvK 14044261
 Decathlon.nl,http://www.decathlon.nl,088 3322888,KvK 34306685
 DekaMarkt,http://www.dekamarkt.nl,088 3135555,KvK 34050453
 Designlinq,http://www.designlinq.nl,010 3074119,KvK 69165726
 Deurprofi.nl,https://www.deurprofi.nl/,088 597 0000,KvK 29042230
 Doordropshop.nl,http://www.doordropshop.nl,030 7672601,KvK 05073097
 Doorhandleshop.nl,https://www.doorhandleshop.nl,0251 215476,KvK 34195468
 Drogemortel.nl,http://www.drogemortel.nl,0485 551273,KvK 67302475
 Dubbelstaafmatten.nl,http://www.dubbelstaafmatten.nl,010 5914444,KvK 74290037
 Duivenpinnen.nu,http://www.duivenpinnen.nu,0786176833,KvK 23074822
 Dutch Legends,http://www.dutchlegends.shop,, 
 DutchDrives,http://dutchdrives.com,088 7865055,KvK 28049765
 Ecopuur Schoonmaken,https://www.ecopuur.nl/,085 0702700,KvK 82329524
 Endless Branding,http://www.endlessbranding.com,+31 (0)46 411 30 90,KvK 14054864
 Enkelstaafmatten.nl,http://www.enkelstaafmatten.nl,010-5914444,KvK 74290037
 E-Relatiegeschenken,http://www.e-relatiegeschenken.nl,085 0061870,KvK 55741843
 Ergonomie.shop,http://Ergonomie.shop,0318 202056,KvK 54415993
 Eriks,http://shop.eriks.nl,072 5141514,KvK 37050277
 Eshuis,http://www.eshuis.nl,0529 438100,KvK 05034274
 Expofit.nl,http://www.expofit.nl,, 
 Feelingz.nl,http://feelingz.nl,070 413 21 83,KvK 74781642
 Fitbox.nl,http://www.fitbox.nl,, 
 fonQ.nl,http://www.fonq.nl,030 - 24 75 015,KvK 30193631
 Garderobespecialist.nl,http://www.garderobespecialist.nl,0318 202054,KvK 54415993
 Gasveerwinkel.nl,https://www.gasveerwinkel.nl,+31 (0)78-2049322,KvK 62028723
 Gebruiktehekken.nl,http://www.gebruiktehekken.nl,010 5914444,KvK 74290037
 Gereedschap-profi.nl,https://www.gereedschap-profi.nl/,088 597 0000,KvK 29042230
 Gevelprofi.nl,https://www.gevelprofi.nl/,088 597 0000,KvK 29042230
 GewoonGers,http://www.gewoongers.nl,010 3072889,KvK 72184388
 Gipsprofi.nl,https://www.gipsprofi.nl/,088 597 0000,KvK 29042230
 Gorilla Grip,http://www.gorillagrip.nl,0654244683,KvK 69015902
 Goudwisselkantoor,http://shop-goudwisselkantoor.nl,0186571366,KvK 80278493
 Grammer.nl,http://grammer.nl,0180 512866,KvK 24161817
 Grootvakstellingspecialist.nl,http://www.grootvakstellingspecialist.nl,0318 202052,KvK 54415993
 Haibu.nl,http://www.haibu.nl,0545 721091,KvK 09208658
 Hardhoutprofi.nl,https://www.hardhoutprofi.nl/,088 597 0000,KvK 29042230
 Hekkenwereld.nl,http://www.hekkenwereld.nl,010 5914444,KvK 74290037
 Hellamarine-webshop.nl,http://www.hellamarine-webshop.nl,06 52070000,KvK 55004326
 Hijshelden.nl,http://www.hijshelden.nl,0412 782555,KvK 16083035
 Holbox Shop Direct,https://shopdirect.holbox.nl/,0475 569599,KvK 13033889
 Houtenstellingspecialist.nl,http://www.houtenstellingspecialist.nl,0318 202052,KvK 54415993
 Hout-profi.nl,https://www.hout-profi.nl/,088 597 0000,KvK 29042230
 Huisartswinkel.nl,http://www.huisartswinkel.nl,0412-690461,KvK 17182862
 Hygienepapier.nl,http://www.hygienepapier.nl,0187 745042,KvK 69835446
 IJzerwarenprofi.nl,https://www.ijzerwarenprofi.nl/,088 597 0000,KvK 29042230
 Installatiebalie.nl,http://www.installatiebalie.nl,088 1348100,KvK 27280918
 Interior Label by Rein Rambaldo,http://www.interiorlabel.nl,+31(0)708880505,KvK 78034167
 Internationalplywood.nl,http://internationalplywood.nl,0183353000,KvK 23059456
 IQP,http://www.iqp.nl,088 5010401,KvK 16055670
 Isolatieprofi.nl,https://www.isolatieprofi.nl/,088 597 0000,KvK 29042230
 Jaggs Alarm - B2B,https://www.jaggsalarm.nl/,036 5255358,KvK 78266556
 Janssen-fritsen.nl,http://www.janssen-fritsen.nl,0492 530930,KvK 17141453
 janvanderleek.nl,http://www.janvanderleek.nl,http://www.janvanderleek.nl, 
 Kantoorinrichtingkopen.nl,http://www.kantoorinrichtingkopen.nl,0412 627111,KvK 17232025
 Kastprofi.nl,https://www.kastprofi.nl/,088 597 0000,KvK 29042230
 Kerstpakketten.nl,http://www.kerstpakketten.nl,088 5010444,KvK 16055670
 Kerstpakkettenfeest.nl,http://www.kerstpakkettenfeest.nl,088 5010425,KvK 16055670
 Kerstpakkettenxl.nl,http://www.kerstpakkettenxl.nl,0512 570077,KvK 01091820
 Kimbrer.nl,https://www.kimbrer.nl/,+31 (0) 20 369 0717,KvK 18630931
 Kinderspel.net,http://www.kinderspel.net,076 5319278,KvK 67706517
 Kitchenettesdirect.nl,http://www.kitchenettesdirect.nl,0356234477,KvK 32103012
 Kiwi Electronics - B2B,http://www.kiwi-electronics.nl,070 5680808,KvK 62102494
 Klic-App,http://www.klic-app.nl,+31857733657,KvK ?30171797
 KLIUM Nederland,http://www.klium.nl,+32 37400041,KvK 59217367
 Kluizenspecialist.nl,http://www.kluizenspecialist.nl,0318 202051,KvK 54415993
 Kortingsticker.nl,https://www.kortingsticker.nl/,085 130 4010,KvK 65101057
 Kozijnprofi.nl,https://www.kozijnprofi.nl/,088 597 0000,KvK 29042230
 Kunststofstellingspecialist.nl,http://www.kunststofstellingspecialist.nl,0318 202052,KvK 54415993
 Ladeblok.nl,http://www.ladeblok.nl,0318 202055,KvK 54415993
 Lampdirect.nl,http://www.lampdirect.nl,088 3100000,KvK 17260313
 Laspartners Multiweld,http://www.lpmw.nl,088 6641777,KvK 24240690
 Lataza,http://www.lataza.nl,0594 641265,KvK 62236636
 Learningconnected.com,http://learningconnected.com,, 
 LEDdirect B.V.,https://www.leddirect.nl,088 0100 400, 
 Ledpaneelgroothandel.nl,http://www.ledpaneelgroothandel.nl,020 2600008,KvK 67513247
 Lichtkoepelprofi.nl,https://www.lichtkoepelprofi.nl/,088 597 0000,KvK 29042230
 Lijstprofi.nl,https://www.lijstprofi.nl/,088 597 0000,KvK 29042230
 Locker.shop,http://www.locker.shop,0318 202057,KvK 54415993
 LOGIXBOX,https://logixbox.nl,https://logixbox.nl, 
 Lood.nu,http://www.lood.nu,0786176833,KvK 23074822
 Loodvervangers.nl,http://www.loodvervangers.nl,0786176833,KvK 23074822
 Makro Kerstpakketten,http://www.makrokerstpakketten.nl,026 3195484,KvK 09110454
 Mattador,http://mattador.nl,038 3035577,KvK 84355778
 Maxisafety,http://www.maxisafety.nl,010 7138154,KvK 24474973
 Metalenstellingspecialist.nl,http://www.metalenstellingspecialist.nl,0318 202052,KvK 54415993
 MijnIJzerwaren.nl,http://www.mijnijzerwaren.nl,085 2250015,KvK 62056506
 Mijnpersoonlijkenoot.nl,http://www.mijnpersoonlijkenoot.nl,0224-213135,KvK 37062329
 Moonen Packaging,http://moonendirect.nl,0495581760,KvK 13034736
 Munsterhuis Auto Onderdelen,http://munsterhuis-auto-onderdelen.nl,http://munsterhuis-auto-onderdelen.nl, 
 Nedis.com,http://www.nedis.nl,073-5991055,KvK 11028854
 NRG fitness,http://www.nrgfitness.nl,0165512603,KvK 64918114
 NSM Retailer Portal,https://retailerportal.nl,+31 (0)26-319 4444,KvK ?08042989
 Offacility,http://www.offacility.nl,040 8436575,KvK 77897064
 Officecity Kantoormeubelen,http://www.officecity.nl,023 3020080,KvK 57590133
 Olievoordeelshop.nl,http://www.olievoordeelshop.nl,0481 367150,KvK 59059273
 Olssen.nl,http://www.olssen.nl,0184 611400,KvK 52617688
 OPAL Associates BV,http://webshop.opalbv.com,088 2353400,KvK 09154054
 Paardekooper verpakkingen en disposables,http://www.paardekooper.nl,088 2222333,KvK 24140408
 PACKcenter Verpakkingen,http://www.packcenter.nl,026 3193969,KvK 09138493
 Palletcentrale,http://www.palletcentrale.nl,0168 357010,KvK 50056077
 Phoenix Import,http://www.phoeniximport.com,038 4235510,KvK 05050712
 Plaatprofi.nl,https://www.plaatprofi.nl/,088 597 0000,KvK 29042230
 Plafondprofi.nl,https://www.plafondprofi.nl/,088 597 0000,KvK 29042230
 Plankencentrale.nl,http://www.plankencentrale.nl,0317 310698,KvK 67495214
 Plannen.nl B.V.,http://www.plannen.nl,010-7200555,KvK 78097010
 Posterindeklas.nl,https://www.posterindeklas.nl,0753030605,KvK 57542171
 Premium Disposables,http://www.premiumdisposables.nl,06 46833712,KvK 04040077
 Primera.nl,http://www.primera.nl,0418 651007,KvK 11028801
 Print2day,http://www.print2day.nl,023 2100142,KvK 34301227
 Probeauty,https://www.probeauty.nl,https://www.probeauty.nl, 
 Proforto.nl,http://www.proforto.nl,024 7113346,KvK 62922351
 Proland,http://www.proland.nl,088 5013501,KvK 04087177
 Promofit.nl,http://www.promofit.nl/,, 
 Pronkgeschenken.nl,http://www.pronkgeschenken.nl,0294  210450,KvK 32015414
 QSTA B.V.,http://qsta.nl,088 401 5000,KvK 74069969
 Radiatorxxl,http://www.radiatorxxl.nl,0511 700 213,KvK 60032928
 Relatiegeschenken.nl,http://www.relatiegeschenken.nl,0348 711111,KvK 62167057
 Rescuetools,http://www.rescuetools.eu/nl/,076 7660025,KvK 53880897
 Rikegroup.com,https://www.rikegroup.com/,+31 (0) 38 20 22 670,KvK 78613965
 Schoononline.nl,http://www.schoononline.nl,085 8223090,KvK 17097511
 Schroef.nl,http://www.schroef.nl,0522252847,KvK 04009310
 Schuttingwereld.nl,http://www.schuttingwereld.nl,010 5914444,KvK 74290037
 Season Trend – Kerst-pakket.nl,http://www.seasontrend.nl,088 5010400,KvK 16055670
 Second Hand HP,http://www.secondhandhp.nl,0302288022,KvK 59677708
 Sensors.nl,https://www.sensors.nl/,+31 (0)85 0646409,KvK 17253796
 Sokkel.nl,http://www.sokkel.nl,0174 881688,KvK 76690865
 Spanishfood XL,http://www.spanishfoodxl.com,070 3877182,KvK 27378473
 Spherex,http://www.spherex-lighting.com,085 0220830,KvK 74685503
 SpyhinxCreations,https://www.spyhinxcreations.com,+31 (0) 252799803,KvK 75173026
 Staanofzitten.nl,http://www.staanofzitten.nl,085 - 1308932,KvK 64080757
 Stabox.nl,http://www.stabox.nl,054 6574848,KvK 06056784
 STBshop.nl,http://www.stbshop.nl,, 
 Steenprofi.nl,https://www.steenprofi.nl/,088 597 0000,KvK 29042230
 Steigerhoutprofi.nl,https://www.steigerhoutprofi.nl/,088 597 0000,KvK 29042230
 Stellingspecialist.nl,http://www.stellingspecialist.nl,0318 202052,KvK 54415993
 Study2Go,http://www.study2go.nl,020 2441562,KvK 70274282
 Tachograaf Webshop,https://tachograaf-webshop.nl/nl/, , 
 Technowinkel.nl,https://www.technowinkel.nl/,023-5349905,KvK 34094142
 Trapprofi.nl,https://www.trapprofi.nl/,088 597 0000,KvK 29042230
 Travelcard B.V.,http://travelcard.nl,0881105050,KvK 39037382
 Tuinhek.shop,https://www.tuinhek.shop/,010 5914444,KvK 74290037
 Tuinhoutprofi.nl,https://www.tuinhoutprofi.nl/,088 597 0000,KvK 29042230
 TWIN DOORS,http://www.twindoors.nl,0345-587020,KvK 80836062
 Twinpack,http://www.twinpack.nl,0252 343536,KvK 28048546
 Van Dale Uitgevers,http://webwinkel.vandale.nl,088 7002600,KvK 30068750
 Van Slobbe Premiums & Gifts since 1941,https://www.vanslobbe.nl,010 4118990,KvK 24079585
 Van Winkoop & Zn.,http://www.vanwinkoopwebshop.nl,06 51793330,KvK 59755547
 VDO-Webshop.nl,http://vdo-webshop.nl,0850137980, 
 Veilig.nl - B2B,https://www.veilig.nl/,0107631112,KvK 78601355
 Vensterbankprofi.nl,https://www.vensterbankprofi.nl/,088 597 0000,KvK 29042230
 Ventilatieland,http://www.ventilatieland.nl,040-2491900,KvK 17236247
 Veratron Marineshop,https://veratron-marineshop.nl, , 
 verf.nl,http://www.verf.nl,072 5323331,KvK 56870051
 Verstegen Spices & Sauces,https://shop.professioneel.verstegen.nl/,+31 (0) 10 245 51 00,KvK 24124683
 Verzendverpakkingenshop.nl,http://www.verzendverpakkingenshop.nl,026 3845845,KvK 09094090
 VG Trading Kantoormeubelen,http://www.vgtrading.nl,0355235764,KvK 78172926
 Via-direct.nl,http://www.via-direct.nl,0356234477,KvK 32103012
 Vitaia.com,http://www.vitaia.com,085-3331641,KvK 77472381
 Vitakruid BV,http://www.vitakruid.nl,0252 534883,KvK 28086727
 Vloerglijders,http://www.vloerglijders.nl,0228 - 222132,KvK 69067007
 Vloerprofi.nl,https://www.vloerprofi.nl/,088 597 0000,KvK 29042230
 Voorkappers.nl,http://www.voorkappers.nl,0229552244,KvK 36009047
 VR Expert,https://vr-expert.nl/,0307116158,KvK 69601283
 Walkies.nl,http://www.walkies.nl,085 01821 01,KvK 74215574
 Wandprofi.nl,https://www.wandprofi.nl/,088 597 0000,KvK 29042230
 Wegter Grootverbruik,http://www.wegter.nl,0541 581600,KvK 06061546
 Whitelabelhaircare,http://www.whitelabelhaircare.com,076 8200375,KvK 20143590
 Wijnhandel Bas Baan,http://www.wijnhandelbasbaan.nl,078 6125226,KvK 53305183
 WoodYouCare,http://woodyou.care,+31850041471,KvK 82110034
 X-masgiftsonline,http://www.xmasgiftsonline.nl,0573 400393,KvK 08218487
 Zagenzagen.nl,http://www.zagenzagen.nl,078 2049310,KvK 83150056
 ZBM Nederland B.V.,https://www.zbmnederland.nl/,+31 (0)10 484 00 00, 
